0東,0100000A00
0南,0100000B00
288,0100028800
290副,0400029010
290副萬和,0400029070
292,0100029200
292副,0100029210
294,0100029400
295,0100029500
295副,0100029510
297,0100029700
298,0100029800
299,0100029900
300,0100030000
302,0100030200
302區,0100030220
303,0100030300
303區,0100030320
304承德,0100030400
304重慶,0100030490
306,0100030600
306區,0100030620
307,0100030700
307西藏三民,0100030790
308,0100030800
310,0100031000
310區,0100031020
311,0100031100
311區,0100031120
505,0100050500
508,0100050800
508區,0100050820
513,0100051300
520,0400052000
521,0100052100
529,0100052900
530,0100053000
531,0100053100
536,0100053600
536區,0100053620
539,0100053900
542,0100054200
550,0100055000
551,0100055100
552,0100055200
553,0100055300
556,0100055600
557,0100055700
559,0100055900
568,0100056800
570,0400057000
571,0400057100
572,0400057200
573,0400057300
574,0400057400
575,0400057500
576,0400057600
577,0454051100
578,0454021500
579,0454021600
580,0454022100
581,0454022200
582,0454022300
582經洲子洋,0400058270
582經工業區,0454058290
583,0454022500
585,0454050200
586,0454090600
587,0454090800
589,0454091200
590,0454091700
591,0454091800
592,0454070500
593,0454011200
594,0454011000
595,0454011100
596,0454050100
600,0100060000
602,0100060200
604,0100060400
605,0100060500
605副,0100060510
605快,0100060550
605新台五,0100060590
606,0100060600
611,0100061100
612,0100061200
615,0100061500
616,0100061600
617,0100061700
617副,0100061710
618,0100061800
621,0100062100
622,0100062200
624,0400062400
624綠野香坡,0400062470
629,0400062900
629區,0400062920
630,0100063000
631,0400063100
635,0400063500
636,0400063600
637,0400063700
638,0400063800
638副,0400063810
639,0400063900
640,0400064000
641,0100064100
643,0100064300
644,0100064400
645,0100064500
645副,0100064510
646,0100064600
647,0100064700
648,0100064800
651,0100065100
652,0100065200
656,0400065600
657,0400065700
657延,0400065770
658,0400065800
660,0100066000
660區,0100066020
662,0100066200
663,0100066300
666烏塗窟,0400066670
666皇帝殿,0400066690
666華梵大學,0400066600
667,0400066700
668,0100066800
669,0100066900
670,0100067000
671,0100067100
672,0100067200
672區,0100067220
673,0100067300
675,0100067500
676,0100067600
677,0400067700
677副,0454091600
678,0400067800
679,0100067900
680,0100068000
681,0100068100
682,0100068200
683,0100068300
685,0100068500
688,0100068800
701,0400070100
702,0400070200
704,0400070400
704區,0400070420
705,0400070500
706,0400070600
707,0400027510
711,0100071100
712,0400071200
712副,0400071210
716(台灣好行-皇冠北海岸線),0400086270
731,0400073100
756,0100075600
757,0100150400
758,0100150300
760,0400076000
778,0400077800
779,0400077900
780,0400078000
781,0400078100
782,0400078200
783,0400078300
785,0400078500
786,0400078600
786區,0400078620
787,0400078700
787經瑞芳工業區,0400078770
788,0400078800
788區,0461078820
788海科館,0400078870
789,0400078900
789區,0400078920
790,0400079000
790漁港,0400079070
791,0400079100
791區,0400079120
791繞貢寮,0400079170
791經貢寮區衛生,0400079190
793,0400079300
795往木柵(台灣好行-木柵平溪線),0400079570
795往平溪(台灣好行-木柵平溪線),0400079580
795往十分寮(台灣好行-木柵平溪線),0400079500
796,0400079600
797,0400079700
799,0400079900
800,0400080000
801,0400080100
802,0400080200
802區,0400080220
803,0400080300
805,0400080500
806,0400080600
807,0400080700
808,0400080800
810,0400081000
811,0400081100
812,0400081200
813,0400081300
813區,0400081320
815,0400081500
816,0400081600
817,0400081700
819,0400081900
819副,0400081910
820,0400082000
821,0400082100
822,0400082200
823,0400082300
824,0400082400
825,0400082500
826,0400082600
827,0400082700
835,0400083500
836,0400083600
837,0400083700
837副,0400083710
837區,0400083720
838,0400083800
839,0400083900
839耕莘,0400083970
842,0400084200
843,0400084300
845,0400084500
846,0400084600
847,0400084700
847區,0400084720
848,0400084800
849,0400084900
849屈尺社區,0400084970
851,0400085100
852,0400085200
854,0400085400
856(台灣好行-黃金福隆線),0400085600
857,0400085700
858,0400085800
859,0400085900
860,0400086000
861,0400086100
862,0400086200
863,0400086300
864,0400086400
865,0400086500
866,0400086600
867,0400086700
867區,0400086720
868,0400086800
869,0400086900
870,0400087000
871,0400087100
871經中山北路,0400087170
872,0400087200
872經正德國中、直行中山北路,0400087270
873,0400087300
873經正德國中,0400087370
874,0400087400
875,0400087500
876,0400087600
877,0400087700
878,0400087800
878區,0400087820
879,0400087900
880,0400088000
881,0400088100
882,0400088200
883,0400088300
885,0400088500
886,0400088600
886區,0400088620
889,0400088900
890,0400089000
891,0400089100
894,0400089400
895,0400089500
896,0400089600
897,0400089700
897區,0400089720
898,0400089800
899,0400089900
902,0100090200
902區,0100090220
903,0100090300
905,0100090500
905副,0100090510
906,0400090600
907,0100090700
907通勤,0100090790
908,0400090800
908延,0400090870
909,0400090900
910,0400091000
912,0100091200
913,0400091300
915,0100091500
916,0400091600
917,0400091700
918,0400091800
918區,0400091820
919,0400091900
920,0400092000
920副,0400092010
920A,0400092080
921,0400092100
922,0400092200
923,0400092300
925,0400092500
925A,0400092580
927,0400092700
927經台北港,0400092790
928,0400092800
930,0400093000
930延,0400093070
932,0400093200
932繞國家教育研究院,0400093270
933,0400093300
935,0400093500
936,0400093600
936A,0400093680
937,0400093700
937副,0400093710
937A,0400093780
938,0400093800
939,0400093900
939副,0400093910
939跳蛙,0463093900
940,0400094000
941,0400094100
943,0400094300
945,0400094500
946,0400094600
946副,0400094610
947,0400094700
948,0400094800
949,0100094900
950,0100095000
951,0400095100
952,0400095200
953,0400095300
953區,0400095320
955,0100095500
957,0100095700
958,0415002700
959,0415002800
960,0415002900
963,0400096300
965(台灣好行-九份金瓜石線),0400096500
966,0400096600
966副,0400096610
966A,0400096680
967,0400096700
967副,0400096710
967直,0400096730
981,0410098100
982,0410098200
982區,0410098220
982直達,0410098230
982直達新埔線,0410098240
983,0400098300
1717,0100171700
853跳蛙,0463085300
985萬大樹林先導公車,0410098500
藍1,0412000100
橘1,0415000100
紅2,0111000200
棕2,0114000200
藍2,0412000200
橘2,0415000200
綠2右,0413000200
綠2左,0413000270
藍海2線先導公車,0410000200
紅3區,0111000320
紅5,0111000500
綠5,0413000500
橘5,0415000500
棕6,0114000600
綠6,0413000600
紅7,0111000700
藍7,0112000700
綠7,0413000700
棕7,0414000700
紅7區,0111000720
藍7副,0112000710
棕7建業路,0414000790
棕7綠野香坡,0414000770
綠8,0413000800
橘9,0415000900
紅10,0111001000
藍10,0112001000
綠10,0413001000
橘10,0415001000
紅10區,0111001020
通勤11,0152003500
紅12,0111001200
通勤12,0152003600
紅13,0411001300
綠13,0413001300
橘13,0415001300
通勤13,0152003700
紅15,0111001500
藍15,0412001500
綠15,0413001500
通勤16,0152003800
藍17,0412001700
橘17,0415001700
藍18,0412001800
通勤18,0152004500
橘19,0415001900
橘19副,0415001910
藍20區,0112002020
藍21,0412002100
通勤21,0152004400
藍21副,0412002110
紅22,0411002200
藍22,0412002200
通勤22,0152004200
紅23,0411002300
藍23,0412002300
通勤24,0152004700
藍25,0112002500
橘25,0415002500
通勤25,0152004900
紅26,0411002600
橘26,0415002600
通勤26,0152005000
紅27,0411002700
通勤27,0152005100
紅28,0411002800
通勤28,0152005200
紅28直,0411002830
紅29,0111002900
通勤29,0152005300
紅31,0111003100
藍36,0112003600
紅36,0411003600
紅37,0411003700
藍37,0412003700
紅37行經海洋都心社區,0411003790
紅38,0411003800
藍38,0412003800
紅39,0411003900
藍39,0412003900
藍41,0412004100
藍41延和,0412004170
藍44,0412004400
藍44延,0412004470
藍45,0412004500
藍46,0412004600
紅50,0111005000
紅51,0411005100
紅53,0411005300
中山幹線,0161000600
仁愛幹線,0161000200
內湖幹線,0161000100
北環幹線,0100062000
民生幹線,0161000300
民權幹線,0161001300
和平幹線,0161000700
忠孝幹線,0161001100
承德幹線,0161000900
東環幹線,0113001600
松江新生幹線,0161000400
信義幹線,0161001200
南京幹線,0161001400
南環幹線,0113000100
重慶幹線,0161001000
基隆路幹線,0161001500
復興幹線,0161000800
敦化幹線,0161000500
湯泉-大坪林-湯泉,0463003900
雙園巴士,0152005400
羅斯福路幹線,0161001600
紅3,0111000300
紅9,0111000900
紅19,0111001900
紅25,0111002500
紅25區,0111002520
紅30,0111003000
紅33,0111003300
紅35,0111003500
紅35區,0111003520
紅55,0111005500
紅55區,0111005520
紅57,0111005700
紅68,0111006800
藍5,0112000500
藍26,0112002600
藍27,0112002700
藍28,0112002800
藍29,0112002900
藍31,0412003100
藍32,0412003200
藍33,0412003300
藍35,0412003500
藍40,0412004000
藍43,0412004300
藍43延南天母,0412004370
藍50,0112005000
藍51,0112005100
綠3,0413000300
綠9,0413000900
綠9耕莘,0413000990
綠9北新國小,0413000970
綠11,0113001100
綠12,0413001200
綠17,0113001700
棕1,0114000100
棕3,0114000300
棕5,0114000500
棕10,0114001000
棕11,0114001100
棕11副,0114001110
棕12,0114001200
棕13,0114001300
棕15,0114001500
棕18,0114001800
棕19,0114001900
棕20,0114002000
棕21,0114002100
棕22,0114002200
橘3,0415000300
橘12,0415001200
橘18,0415001800
橘18福隆路,0415001870
橘20,0415002000
橘21,0415002100
橘22,0415002200
安坑1線,0421000100
安坑2線,0421000200
安坑3線,0421000300
安坑5線,0421000500
安坑6線,0421000600
小1,0151000100
小1區,0151000120
小2,0151000200
小2區,0151000220
小3,0151000300
小5,0151000500
小5區,0151000520
小6,0151000600
小7,0151000700
小8,0151000800
小8區,0151000820
小9(台灣好行-北投竹子湖),0151000900
小9區,0151000920
小10,0151001000
小10區,0151001020
小11,0151001100
小12,0151001200
小14,0151001400
小15,0151001500
小15區,0151001520
小16,0151001600
小17,0151001700
小18,0151001800
小19,0151001900
小21,0151002100
小22,0151002200
小23,0151002300
小25,0151002500
小26,0151002600
小28,0151002800
小30,0151003000
小36,0151003600
小39,0151003900
通勤7,0162000700
通勤9,0162000900
市民小巴1,0153000100
市民小巴2,0153000200
市民小巴5,0153000500
市民小巴6,0153000600
市民小巴7,0153000700
市民小巴8,0153000800
市民小巴9,0153000900
市民小巴10,0153001000
市民小巴11,0153001100
市民小巴12,0153001200
市民小巴15,0153001500
市民小巴16,0153001600
市民小巴17,0153001700
市民小巴18,0153001800
F101坪頂,0454010100
F101樹興,0454010170
F102,0454010200
F103,0454010300
F105,0454010500
F105反,0454010590
F106,0454010690
F109,0454010900
F121,0454012100
F122,0454012200
F123-0640、0700,0454012380
F123-1205,0454012390
F123-1550,0454012370
F126,0454012600
F126江厝,0454012670
F126經里中,0454012690
F131,0454013100
F132,0454013200
F132經青山,0454013210
F133平日,0454013300
F133假日,0454013360
F133末班,0454013380
F135,0454013500
F136,0454013600
F137,0454013700
F138內橫山,0454013800
F138新古庄,0454013870
F139行經101線,0454013970
F139行經台2線,0454013900
F151-0605,0454015180
F151-0620,0454015100
F151-0655、1030,0454115100
F151-0730,0454015110
F151-0800,0454015190
F151-0830、1655,0454015170
F151-0930,0454015120
F151-1000,0454015130
F151-1605,0454015140
F151-1625,0454015150
F151-1730,0454215100
F151-1800,0454015160
F152-0600,0454015280
F152-0620、0745,04540152A0
F152-0635,0454015200
F152-0700,0454015210
F152-0810,0454015220
F152-0845,0454015290
F152-0925,0454015230
F152-0950,04540152C0
F152-1545,0454015240
F152-1630,04540152D0
F152-1655,0454015250
F152-1720,0454015260
F152-1740,04540152E0
F152-1800,04540152B0
F153-0620,0454015380
F153-0730、0945,0454015330
F153-0820,0454015340
F153-1030,0454015350
F153-1605,0454015360
F153-1730,0454015370
F161,0454016100
F201,0454020100
F202,0454020200
F205,0454020500
F206,0454020600
F207,0454020700
F211,0454021100
F212,0454021200
F212副,0454021210
F212楓江,0454021290
F213,0454021300
F213黎明,0454021370
F217,0454021700
F218,0454021800
F233,0454023300
F235,0454023500
F236,0454023600
F237,0454023700
F238,0454023800
F239,0454023900
F250,0454025000
F301,0454030190
F302,0454030200
F303,0454030300
F312,0454031200
F317,0454031700
F319,0454031900
F320,0454032000
F512,0454051200
F512副,0454051210
F513,0454051300
F521,0454052100
F522,0454052200
F523,0454052300
F525,0454052500
F526,0454052600
F611,0454061100
F623,0454062300
F625,0454062500
F626-0815,0454062680
F626,0454062600
F627,0454062700
F628,0454062800
F629,0454062900
F630,0454063000
F651,0454065100
F652,0454065200
幸福巴士F652延伸線,0454065290
F653A,0454065300
F653B,0454065370
F655,0454065500
F656,0454065600
F657,0454065700
F703,0454070300
F703前三班,0454070390
F711,0454071100
F712,0454071200
F713,0454071300
F721,0454072100
F722,0454072200
F723,0454072300
F723上石嘈,0454072380
F723下石嘈,0454072390
F724,0454072400
F801,0454080100
F802,0454080200
F803,0454080300
F805,0454080500
F806,0454080600
F807,0454080700
F808,0454080800
F811,0454081100
F812,0454081200
F813,0454081300
F815,0454081500
F815嶺頭觀目,0454081570
F816,0454081600
F821,0454082100
F822,0454082200
F823,0454082300
F823區,0454082320
F825,0454082500
F835,0454083500
F836,0454083600
F837,0454083700
F838,0454083800
F839,0454083900
F901,0454090100
F902,0454090200
F903,0454090300
F905,0454090500
F907,0454090700
F909伯爵,0454090990
F910,0454091000
F911,0454091100
F913,0454091300
F915,0454091500
F919八連,0454090900
F920,0454092090
F921,0454092100
F921假日,0454092160
F922內崁,0454092200
F922北基,0454092210
F922烏塗炭,0454092270
F923,0454092300
F923假日,0454092360
F931-0600,0454093180
F931-0700,0454093120
F931-0800,0454093130
F931-0910,0454093140
F931-1030,0454093150
F931-1255,0454093190
F931-1630,0454093160
F931-1730,0454093170
F932-0600,0454093280
F932-0630,0454093230
F932-0715,0454093220
F932-0820,0454093250
F932-0950,0454093260
F932-1110,0454093290
F932-1630,0454093240
F933-0620學生專車,0454093390
F933-0635,0454093310
F933-0710,0454093300
F933-0800,0454093380
F933-0920,0454093320
F933-1030,0454093330
F933-1130,0454093340
F933-1330,0454093350
F933-1430,0454093360
F933-1530,0454093370
吉林線,0454084000
直潭里線,0454093500
貢寮區學生專車,0454093600
塗潭平日線,0454099900
塗潭假日線,0454099960
福連線,0454084500
龍崗線,0454084100
內科快線1,0152000A00
內科快線2,0152000B00
內科通勤專車2,0152000200
內科通勤專車3,0152000300
內科通勤專車5,0152000500
內科通勤專車6,0152000600
內科通勤專車7,0152000700
內科通勤專車8,0152000800
內科通勤專車10,0152001000
內科通勤專車11,0152001100
內科通勤專車12,0152001200
內科通勤專車13,0152001300
內科通勤專車15,0152001500
內科通勤專車16,0152001600
內科通勤專車17,0152001700
內科通勤專車18,0152001800
內科通勤專車19,0152001900
內科通勤專車20,0152002000
內科通勤專車21,0152002100
南軟通勤專車中和線,0152003000
南軟通勤專車天母線,0152003100
南軟通勤專車北投線,0152003200
南軟通勤專車雙和線,0152003400
兒樂1號線,0162003000
兒樂2號線,0162003100
懷恩專車S31,0162001000
懷恩專車S32,0162001100
懷恩專車S33,0162001200
懷恩專車S34,0162001300
懷恩專車S35,0162001400
貓空右線,0162002000
貓空左線(指南宮),0162002100
貓空左線(動物園),0162002200
淡水-國道1號-南港車站,0463001200
汐止-台北101,0463003000
三重-內科,0463005400
三峽-中和高中,0463009500
三峽-內科,0463002600
三峽-捷運台大醫院站,0463000300
三峽-捷運永寧站,0463000400
三峽-捷運府中站,0463004000
三峽-臺北市信義區,0463004500
土城金城路-樹林大安路,0463003600
土城-南天母廣場,0463008500
中和左岸社區-捷運頂溪站,0463007700
中和自立路-新店,0463007500
中和-新北板橋公車站,0463004600
中和環河西路-永和仁愛路,0463007900
五股-內湖科技園區,0463003100
北大社區-捷運頂埔站,0463009100
台北小城-大坪林,0463005200
石門-捷運紅樹林站,0463005100
石碇高中-捷運忠孝復興站,0463009400
合宜住宅-捷運亞東醫院站,0463009600
板橋江翠-捷運新埔站,0463009300
林口(文化三路)-捷運圓山站,0463001600
林口(文化北路)-捷運圓山站,0463008200
林口-內湖科技園區,0463000800
林口-板橋,0463001300
林口-捷運府中站,0463005000
林口-捷運忠孝敦化站,0463007300
林口-捷運圓山站,0463000500
林口-臺北車站(承德),0463007200
林口-臺北長庚醫院,0463003200
政大附中-捷運景美站,0463008700
泰山-內湖,0463001000
泰山-內湖(直達),0463006100
捷運七張站-全球工業區,0463007400
捷運中和站-政大附中,0463008600
捷運忠孝復興站-三峽,0463009200
捷運頂溪站-捷運頂埔站,0463008000
捷運景安站-三峽臺北大學,0463003300
捷運新店站-坪林,0463009000
捷運蘆洲站-內湖科技園區,0463003400
淡水-內湖科技園區,0463001100
淡水新市鎮-板橋,0463001800
湯泉-十四張-大坪林,0463006800
湯泉-崇光中學,0463006300
新店(綠中海)-捷運新店站,0463006700
新店北新路-政大一街,0463003500
新店-汐止,0463000900
新店高中-三峽,0463002000
瑞芳(經東碇路)-松山車站,0463008900
瑞芳-內科(北客),0463002500
瑞芳-內科(基客),0463002900
瑞芳-松山車站(北客),0463002300
瑞芳-松山車站(基客),0463002400
瑞芳-南港,0463008400
萬里-內湖科技園區,0463005500
樹林後火車站-海洋公園,0463004400
蘆洲-中正高中,0463007000
蘆洲中正路-士林中正路,0463004900
蘆洲-內湖,0463006400
蘆洲-南港,0463005700
鶯歌火車站-中正紀念堂,0463001400
鶯歌火車站-松山機場,0463001500
臺北觀光巴士紅線,0162003400
臺北觀光巴士藍線,0162003500
景美-榮總(快),0162000400
花季專車124,0171002000
花季專車131,0171002500
三層崎專車,0171003000
新九號停車場-九份老街,0471001600
新九號停車場-水湳洞停車場,0471001700
新九號停車場-黃金博物館,0471002000
